log_id,athlete_id,log_date,meal_type,calories,hydration_liters,supplements
1,1,2025-01-10,Lunch,849,0.5,
2,1,2025-01-11,Snack,379,0.6,
3,2,2025-01-10,Lunch,828,0.9,Whey
4,2,2025-01-11,Snack,377,0.4,
5,3,2025-01-10,Lunch,822,0.4,Multivitamin
6,3,2025-01-11,Snack,685,0.4,Multivitamin
7,4,2025-01-10,Dinner,738,0.5,
8,4,2025-01-11,Dinner,433,0.6,Whey
9,5,2025-01-10,Dinner,579,0.8,Whey
10,5,2025-01-11,Breakfast,603,0.4,Whey
11,6,2025-01-10,Lunch,594,0.4,Whey
12,6,2025-01-11,Lunch,826,0.8,Multivitamin
13,7,2025-01-10,Lunch,467,0.8,BCAA
14,7,2025-01-11,Dinner,460,0.7,Multivitamin
15,8,2025-01-10,Snack,756,1.0,BCAA
16,8,2025-01-11,Breakfast,598,0.4,Multivitamin
17,9,2025-01-10,Breakfast,392,0.5,
18,9,2025-01-11,Dinner,420,0.7,Multivitamin
19,10,2025-01-10,Breakfast,780,0.9,Whey
20,10,2025-01-11,Snack,720,0.7,
