reading_id,recorded_at,athlete_id,session_id,device_id,heart_rate,hrv,strain_score,recovery_score,sleep_score,respiratory_rate,spo2
1,2025-01-10T09:09:00,8,1,2,88,100,9.7,85,96,15.5,94
2,2025-01-10T08:12:00,2,1,2,165,85,11.7,84,100,19.0,94
3,2025-01-10T08:07:00,4,1,4,158,83,15.8,38,60,13.1,100
4,2025-01-10T08:54:00,7,1,2,101,75,12.1,34,73,19.9,94
5,2025-01-10T09:23:00,10,1,1,58,51,17.2,55,55,15.5,100
6,2025-01-11T08:00:00,3,2,3,154,73,17.2,83,63,15.7,100
7,2025-01-11T08:19:00,6,2,6,103,77,9.4,32,82,19.1,93
8,2025-01-11T08:40:00,2,2,2,69,46,13.4,89,99,16.8,93
9,2025-01-11T08:10:00,7,2,5,102,48,13.5,55,70,12.3,96
10,2025-01-11T09:16:00,9,2,5,65,50,11.6,99,81,16.8,97
11,2025-01-12T08:50:00,2,3,2,88,78,12.0,34,45,16.0,94
12,2025-01-12T09:08:00,9,3,1,109,104,9.9,69,49,20.7,98
13,2025-01-12T08:36:00,3,3,3,95,96,16.2,63,84,21.8,93
14,2025-01-12T09:10:00,10,3,6,131,53,17.3,42,61,12.3,94
15,2025-01-12T09:10:00,5,3,5,94,74,10.1,51,90,14.8,97
16,2025-01-13T09:21:00,6,4,6,163,75,7.5,67,94,12.4,97
17,2025-01-13T08:20:00,5,4,5,168,110,14.8,96,45,12.2,95
18,2025-01-13T09:09:00,4,4,4,64,87,13.4,43,72,12.4,97
19,2025-01-13T08:46:00,2,4,2,65,85,9.3,56,87,12.1,99
20,2025-01-13T08:19:00,7,4,5,115,60,17.7,47,71,11.3,98
21,2025-01-14T09:29:00,7,5,2,82,88,16.6,85,59,13.2,100
22,2025-01-14T08:44:00,6,5,6,133,69,9.5,49,70,14.6,94
23,2025-01-14T08:35:00,4,5,4,144,105,11.4,93,66,21.3,94
24,2025-01-14T08:33:00,5,5,5,100,73,7.4,80,67,19.0,98
25,2025-01-15T09:13:00,6,6,6,103,72,7.5,80,45,16.7,96
26,2025-01-15T08:55:00,7,6,3,72,82,13.9,40,91,20.9,97
27,2025-01-15T08:52:00,8,6,6,138,91,14.7,95,53,13.1,99
28,2025-01-15T09:26:00,2,6,2,99,78,11.5,25,64,14.2,99
29,2025-01-15T09:14:00,3,6,3,137,99,11.9,52,77,16.2,95
30,2025-01-16T08:30:00,10,7,1,134,68,15.9,43,46,11.5,100
31,2025-01-16T09:18:00,3,7,3,73,98,11.6,98,57,18.9,99
32,2025-01-16T09:03:00,5,7,5,157,71,8.6,25,93,20.5,94
33,2025-01-16T08:54:00,6,7,6,111,62,15.8,91,74,11.6,96
34,2025-01-16T08:15:00,4,7,4,171,57,15.8,92,80,17.5,100
35,2025-01-17T09:00:00,10,8,6,170,73,15.3,60,94,19.6,100
36,2025-01-17T08:30:00,7,8,6,125,96,7.9,61,60,14.0,98
37,2025-01-17T09:09:00,6,8,6,75,57,8.7,74,89,12.7,96
38,2025-01-17T08:08:00,2,8,2,161,92,10.6,84,71,11.7,99
39,2025-01-17T08:49:00,1,8,1,60,88,12.2,70,64,19.3,99
